Dept,Primary_Count,Secondary_Count,Primary_Median_RT,Primary_P90_RT,Primary_Mean_RT,Secondary_Median_RT,Secondary_P90_RT,Secondary_Mean_RT,Median_Delta_Min,P90_Delta_Min,MW_U_Stat,MW_P_Value
Watertown,1568,364,5.0,9.0,5.8,5.5,11.0,6.4,0.5,2.0,257846.0,0.0036
Fort Atkinson,1498,106,4.0,8.0,4.5,5.0,9.0,5.2,1.0,1.0,67375.0,0.008
Whitewater,1197,233,5.0,10.0,5.6,5.0,11.8,6.3,0.0,1.8,124426.5,0.0085
Edgerton,1564,426,6.0,12.0,7.1,6.0,13.0,7.3,0.0,1.0,319328.5,0.1867
Jefferson,89,2,7.0,11.0,6.7,11.0,11.8,11.0,4.0,0.8,,
Johnson Creek,407,42,7.0,11.4,7.5,6.5,14.0,7.7,-0.5,2.6,8799.5,0.7516
Waterloo,329,59,7.0,11.2,7.3,8.0,11.0,7.4,1.0,-0.2,9242.5,0.558
Ixonia,228,29,10.0,16.0,10.1,13.0,17.2,11.8,3.0,1.2,2510.5,0.0345
Palmyra,27,5,5.0,10.4,6.3,8.0,9.6,8.2,3.0,-0.8,32.0,0.0662
Cambridge,60,2,6.5,13.1,7.3,9.0,10.6,9.0,2.5,-2.5,,
COUNTY TOTAL,6967,1268,5.0,11.0,6.1,6.0,12.0,6.8,1.0,1.0,3907664.5,0.0
