Dept,Hour,Call_Minutes,Capacity_Minutes,Utilization,Utilization_Pct
Watertown,0,2736.5,65700.0,0.0417,4.17
Watertown,1,1806.7,65700.0,0.0275,2.75
Watertown,2,2123.6,65700.0,0.0323,3.23
Watertown,3,1980.3,65700.0,0.0301,3.01
Watertown,4,1738.4,65700.0,0.0265,2.65
Watertown,5,1595.1,65700.0,0.0243,2.43
Watertown,6,2212.6,65700.0,0.0337,3.37
Watertown,7,3074.8,65700.0,0.0468,4.68
Watertown,8,4499.9,65700.0,0.0685,6.85
Watertown,9,4562.9,65700.0,0.0695,6.95
Watertown,10,5286.5,65700.0,0.0805,8.05
Watertown,11,4713.4,65700.0,0.0717,7.17
Watertown,12,4350.3,65700.0,0.0662,6.62
Watertown,13,4500.8,65700.0,0.0685,6.85
Watertown,14,4233.5,65700.0,0.0644,6.44
Watertown,15,4438.8,65700.0,0.0676,6.76
Watertown,16,4221.8,65700.0,0.0643,6.43
Watertown,17,4731.0,65700.0,0.072,7.2
Watertown,18,4585.7,65700.0,0.0698,6.98
Watertown,19,5090.1,65700.0,0.0775,7.75
Watertown,20,5116.8,65700.0,0.0779,7.79
Watertown,21,3925.9,65700.0,0.0598,5.98
Watertown,22,3364.6,65700.0,0.0512,5.12
Watertown,23,2408.4,65700.0,0.0367,3.67
Fort Atkinson,0,905.0,65700.0,0.0138,1.38
Fort Atkinson,1,843.0,65700.0,0.0128,1.28
Fort Atkinson,2,716.0,65700.0,0.0109,1.09
Fort Atkinson,3,656.0,65700.0,0.01,1.0
Fort Atkinson,4,617.0,65700.0,0.0094,0.94
Fort Atkinson,5,747.0,65700.0,0.0114,1.14
Fort Atkinson,6,877.0,65700.0,0.0133,1.33
Fort Atkinson,7,1224.0,65700.0,0.0186,1.86
Fort Atkinson,8,1867.0,65700.0,0.0284,2.84
Fort Atkinson,9,1867.0,65700.0,0.0284,2.84
Fort Atkinson,10,1838.0,65700.0,0.028,2.8
Fort Atkinson,11,1904.8,65700.0,0.029,2.9
Fort Atkinson,12,1993.0,65700.0,0.0303,3.03
Fort Atkinson,13,2187.0,65700.0,0.0333,3.33
Fort Atkinson,14,2019.0,65700.0,0.0307,3.07
Fort Atkinson,15,1304.0,65700.0,0.0198,1.98
Fort Atkinson,16,1681.0,65700.0,0.0256,2.56
Fort Atkinson,17,1742.0,65700.0,0.0265,2.65
