GEOID,lat,lon,population,Total_Calls,Calls_Per_1K_Pop,Secondary_Calls,Secondary_Per_1K,Rank_Absolute,Rank_PerCapita,Combined_Rank
550551013004,42.9315352,-88.8415304,729,1591,2182.4,104,142.7,2,1,1.5
550551003022,43.1932254,-88.7294879,1478,2035,1376.9,377,255.1,1,2,1.5
550551012012,42.9115037,-88.9743684,1066,1021,957.8,209,196.1,4,3,3.5
550551016001,42.8513796,-88.7458834,3283,1449,441.4,236,71.9,3,5,4.0
550551012011,42.8841111,-88.8942999,1211,987,815.0,223,184.1,5,4,4.5
550551007001,43.0743749,-88.7824506,2840,357,125.7,34,12.0,6,7,6.5
550551004002,43.1755613,-88.9796136,1917,354,184.7,56,29.2,7,6,6.5
550551011001,42.9974139,-88.79208,1655,127,76.7,5,3.0,8,8,8.0
550551017021,43.136532,-88.5435938,1173,83,70.8,8,6.8,10,9,9.5
550551017022,43.1287515,-88.6208,2054,106,51.6,12,5.8,9,10,9.5
550551009002,43.0001653,-88.7531516,826,34,41.2,9,10.9,12,11,11.5
550551016004,42.8662298,-88.557293,1133,37,32.7,7,6.2,11,12,11.5
550551007003,43.0520378,-88.7079845,1341,33,24.6,6,4.5,13,13,13.0
550551006021,43.014263,-88.9898936,1487,32,21.5,3,2.0,14,14,14.0
550551012021,42.8730114,-88.8001608,1678,29,17.3,0,0.0,15,15,15.0
550551008003,42.9977515,-88.5922758,1724,18,10.4,5,2.9,16,17,16.5
550551005001,43.0892976,-88.9111153,1413,16,11.3,2,1.4,17,16,16.5
550551005002,43.0808779,-88.8747049,1912,14,7.3,2,1.0,18,18,18.0
550551002004,43.1935373,-88.7126867,866,4,4.6,0,0.0,19,19,19.0
550551017011,43.1210701,-88.7255345,1434,4,2.8,1,0.7,19,20,19.5
550551003021,43.1923696,-88.7527365,880,2,2.3,0,0.0,21,21,21.0
550551016002,42.8905559,-88.6722499,1082,2,1.8,0,0.0,21,22,21.5
550551005005,43.0471544,-88.9044625,1683,2,1.2,0,0.0,21,23,22.0
550551001001,43.1933734,-88.6986172,926,1,1.1,0,0.0,24,24,24.0
550551006022,42.9702033,-88.9723975,983,1,1.0,0,0.0,24,25,24.5
550551008001,43.0610004,-88.6230231,1424,1,0.7,0,0.0,24,26,25.0
550551004001,43.1911301,-89.0009506,1622,1,0.6,0,0.0,24,27,25.5
550551015004,42.928901,-88.8285251,735,0,0.0,0,0.0,28,28,28.0
550551011003,42.9845499,-88.8223877,1661,0,0.0,0,0.0,28,28,28.0
550551011002,42.9992223,-88.8296666,1057,0,0.0,0,0.0,28,28,28.0
550551010002,43.0196658,-88.7983884,667,0,0.0,0,0.0,28,28,28.0
550551010001,43.0191364,-88.8225018,1966,0,0.0,0,0.0,28,28,28.0
550551009001,42.9467965,-88.6138181,1239,0,0.0,0,0.0,28,28,28.0
550551007002,43.045138,-88.8357967,801,0,0.0,0,0.0,28,28,28.0
550551004003,43.15135,-88.931359,1083,0,0.0,0,0.0,28,28,28.0
550551008002,43.0727628,-88.5694486,890,0,0.0,0,0.0,28,28,28.0
550551002001,43.1915068,-88.7199735,862,0,0.0,0,0.0,28,28,28.0
550551005003,43.0869925,-88.9198035,773,0,0.0,0,0.0,28,28,28.0
550551013003,42.9275876,-88.8712426,2539,0,0.0,0,0.0,28,28,28.0
550551015001,42.9248673,-88.8326559,761,0,0.0,0,0.0,28,28,28.0
550551015002,42.9142004,-88.8310797,1437,0,0.0,0,0.0,28,28,28.0
550551016003,42.873043,-88.6195117,1346,0,0.0,0,0.0,28,28,28.0
550551010003,43.0172706,-88.788237,1045,0,0.0,0,0.0,28,28,28.0
550551013001,42.9572513,-88.8343323,1867,0,0.0,0,0.0,28,28,28.0
550551014003,42.9150019,-88.8419642,722,0,0.0,0,0.0,28,28,28.0
550551013002,42.9433055,-88.858265,882,0,0.0,0,0.0,28,28,28.0
550551015003,42.9557288,-88.8222274,1043,0,0.0,0,0.0,28,28,28.0
550551006011,43.0774668,-88.9663615,1656,0,0.0,0,0.0,28,28,28.0
550551002002,43.189916,-88.7143467,1160,0,0.0,0,0.0,28,28,28.0
550551002003,43.1923725,-88.7240358,698,0,0.0,0,0.0,28,28,28.0
550551001002,43.1853846,-88.6991338,1127,0,0.0,0,0.0,28,28,28.0
550551001003,43.1861258,-88.7109076,911,0,0.0,0,0.0,28,28,28.0
550551001004,43.1663546,-88.6974924,820,0,0.0,0,0.0,28,28,28.0
550551014002,42.912386,-88.8566628,1648,0,0.0,0,0.0,28,28,28.0
550551009003,42.9537024,-88.7393755,1736,0,0.0,0,0.0,28,28,28.0
550551014001,42.9224312,-88.8414838,985,0,0.0,0,0.0,28,28,28.0
550551001005,43.1599405,-88.7221076,1612,0,0.0,0,0.0,28,28,28.0
550551006023,42.9823439,-88.8859373,967,0,0.0,0,0.0,28,28,28.0
550551017024,43.1682107,-88.5855656,1576,0,0.0,0,0.0,28,28,28.0
550551004004,43.1484939,-88.8346988,1299,0,0.0,0,0.0,28,28,28.0
550551003011,43.1874541,-88.7494453,2076,0,0.0,0,0.0,28,28,28.0
550551003013,43.1778029,-88.7284475,908,0,0.0,0,0.0,28,28,28.0
550551017023,43.1758005,-88.6608173,716,0,0.0,0,0.0,28,28,28.0
550551003012,43.1704017,-88.7532045,753,0,0.0,0,0.0,28,28,28.0
550551005004,43.06353,-88.880127,1056,0,0.0,0,0.0,28,28,28.0
