BG_GEOID,Hour,Call_Count
550551013004,0,37
550551013004,1,36
550551013004,2,30
550551013004,3,33
550551013004,4,28
550551013004,5,38
550551013004,6,36
550551013004,7,70
550551013004,8,92
550551013004,9,88
550551013004,10,91
550551013004,11,96
550551013004,12,83
550551013004,13,97
550551013004,14,97
550551013004,15,56
550551013004,16,96
550551013004,17,80
550551013004,18,82
550551013004,19,82
550551013004,20,74
550551013004,21,75
550551013004,22,54
550551013004,23,40
550551003022,0,60
550551003022,1,45
550551003022,2,43
550551003022,3,38
550551003022,4,38
550551003022,5,37
550551003022,6,68
550551003022,7,85
550551003022,8,95
550551003022,9,125
550551003022,10,118
550551003022,11,128
550551003022,12,97
550551003022,13,111
550551003022,14,100
550551003022,15,91
550551003022,16,110
550551003022,17,123
550551003022,18,101
550551003022,19,125
550551003022,20,114
550551003022,21,73
550551003022,22,64
550551003022,23,46
550551012012,0,25
550551012012,1,21
550551012012,2,28
550551012012,3,15
550551012012,4,19
550551012012,5,23
550551012012,6,30
550551012012,7,37
550551012012,8,35
550551012012,9,63
550551012012,10,69
550551012012,11,64
550551012012,12,50
550551012012,13,70
550551012012,14,44
550551012012,15,67
550551012012,16,61
550551012012,17,50
550551012012,18,43
550551012012,19,56
550551012012,20,38
550551012012,21,47
550551012012,22,27
550551012012,23,39
550551016001,0,47
550551016001,1,52
550551016001,2,45
550551016001,3,39
550551016001,4,30
550551016001,5,33
550551016001,6,34
550551016001,7,46
550551016001,8,64
550551016001,9,75
550551016001,10,85
550551016001,11,71
550551016001,12,68
550551016001,13,78
550551016001,14,62
550551016001,15,75
550551016001,16,76
550551016001,17,84
550551016001,18,76
550551016001,19,70
550551016001,20,74
550551016001,21,59
550551016001,22,56
550551016001,23,50
550551012011,0,24
550551012011,1,16
550551012011,2,22
550551012011,3,19
550551012011,4,22
550551012011,5,23
550551012011,6,27
550551012011,7,29
550551012011,8,48
550551012011,9,65
550551012011,10,54
550551012011,11,54
550551012011,12,55
550551012011,13,65
550551012011,14,71
550551012011,15,57
550551012011,16,53
550551012011,17,48
550551012011,18,45
550551012011,19,55
550551012011,20,41
550551012011,21,38
550551012011,22,29
550551012011,23,27
550551007001,0,4
550551007001,1,6
550551007001,2,3
550551007001,3,8
550551007001,4,6
550551007001,5,7
550551007001,6,9
550551007001,7,15
550551007001,8,23
550551007001,9,24
550551007001,10,15
550551007001,11,11
550551007001,12,25
550551007001,13,21
550551007001,14,22
550551007001,15,14
550551007001,16,21
550551007001,17,26
550551007001,18,24
550551007001,19,19
550551007001,20,17
550551007001,21,13
550551007001,22,17
550551007001,23,7
550551004002,0,10
550551004002,1,7
550551004002,2,4
550551004002,3,7
550551004002,4,6
550551004002,5,4
550551004002,6,7
550551004002,7,15
550551004002,8,10
550551004002,9,24
550551004002,10,11
550551004002,11,23
550551004002,12,25
550551004002,13,11
550551004002,14,23
550551004002,15,28
550551004002,16,28
550551004002,17,19
550551004002,18,29
550551004002,19,12
550551004002,20,14
550551004002,21,10
550551004002,22,12
550551004002,23,15
550551011001,0,1
550551011001,1,1
550551011001,2,0
550551011001,3,2
550551011001,4,4
550551011001,5,3
550551011001,6,3
550551011001,7,2
550551011001,8,6
550551011001,9,5
550551011001,10,4
550551011001,11,5
550551011001,12,12
550551011001,13,4
550551011001,14,9
550551011001,15,13
550551011001,16,10
550551011001,17,9
550551011001,18,7
550551011001,19,9
550551011001,20,8
550551011001,21,2
550551011001,22,5
550551011001,23,3
550551017021,0,0
550551017021,1,0
550551017021,2,2
550551017021,3,2
550551017021,4,2
550551017021,5,3
550551017021,6,5
550551017021,7,3
550551017021,8,1
550551017021,9,2
550551017021,10,8
550551017021,11,4
550551017021,12,4
550551017021,13,5
550551017021,14,3
550551017021,15,7
550551017021,16,6
550551017021,17,5
550551017021,18,4
550551017021,19,3
550551017021,20,6
550551017021,21,2
550551017021,22,2
550551017021,23,4
550551017022,0,4
550551017022,1,3
550551017022,2,1
550551017022,3,3
550551017022,4,2
550551017022,5,2
550551017022,6,2
550551017022,7,9
550551017022,8,6
550551017022,9,5
550551017022,10,5
550551017022,11,4
550551017022,12,6
550551017022,13,4
550551017022,14,3
550551017022,15,5
550551017022,16,7
550551017022,17,8
550551017022,18,9
550551017022,19,4
550551017022,20,2
550551017022,21,5
550551017022,22,3
550551017022,23,4
