GEOID,lat,lon,population,Total_Calls,Secondary_Calls,Pop_Weight_Norm,Call_Weight_Norm,Sec_Weight_Norm,Composite_Weight
550551013004,42.9315352,-88.8415304,729,1591,104,0.2221,0.7818,0.2759,3059.7
550551003022,43.1932254,-88.7294879,1478,2035,377,0.4502,1.0,1.0,5226.0
550551012012,42.9115037,-88.9743684,1066,1021,209,0.3247,0.5017,0.5544,2957.4
550551016001,42.8513796,-88.7458834,3283,1449,236,1.0,0.712,0.626,5426.6
550551012011,42.8841111,-88.8942999,1211,987,223,0.3689,0.485,0.5915,3080.7
550551007001,43.0743749,-88.7824506,2840,357,34,0.8651,0.1754,0.0902,2909.1
550551004002,43.1755613,-88.9796136,1917,354,56,0.5839,0.174,0.1485,2229.9
550551011001,42.9974139,-88.79208,1655,127,5,0.5041,0.0624,0.0133,1535.9
550551017021,43.136532,-88.5435938,1173,83,8,0.3573,0.0408,0.0212,1095.2
550551017022,43.1287515,-88.6208,2054,106,12,0.6256,0.0521,0.0318,1858.8
550551009002,43.0001653,-88.7531516,826,34,9,0.2516,0.0167,0.0239,751.0
550551016004,42.8662298,-88.557293,1133,37,7,0.3451,0.0182,0.0186,998.4
550551007003,43.0520378,-88.7079845,1341,33,6,0.4085,0.0162,0.0159,1159.4
550551006021,43.014263,-88.9898936,1487,32,3,0.4529,0.0157,0.008,1266.6
550551012021,42.8730114,-88.8001608,1678,29,0,0.5111,0.0143,0.0,1407.9
550551008003,42.9977515,-88.5922758,1724,18,5,0.5251,0.0088,0.0133,1448.7
550551005001,43.0892976,-88.9111153,1413,16,2,0.4304,0.0079,0.0053,1181.5
550551005002,43.0808779,-88.8747049,1912,14,2,0.5824,0.0069,0.0053,1586.2
550551002004,43.1935373,-88.7126867,866,4,0,0.2638,0.002,0.0,712.1
550551017011,43.1210701,-88.7255345,1434,4,1,0.4368,0.002,0.0027,1179.3
550551003021,43.1923696,-88.7527365,880,2,0,0.268,0.001,0.0,720.9
550551016002,42.8905559,-88.6722499,1082,2,0,0.3296,0.001,0.0,885.8
550551005005,43.0471544,-88.9044625,1683,2,0,0.5126,0.001,0.0,1376.4
550551001001,43.1933734,-88.6986172,926,1,0,0.2821,0.0005,0.0,757.2
550551006022,42.9702033,-88.9723975,983,1,0,0.2994,0.0005,0.0,803.7
550551008001,43.0610004,-88.6230231,1424,1,0,0.4337,0.0005,0.0,1163.7
550551004001,43.1911301,-89.0009506,1622,1,0,0.4941,0.0005,0.0,1325.3
550551015004,42.928901,-88.8285251,735,0,0,0.2239,0.0,0.0,599.9
550551011003,42.9845499,-88.8223877,1661,0,0,0.5059,0.0,0.0,1355.8
550551011002,42.9992223,-88.8296666,1057,0,0,0.322,0.0,0.0,862.8
550551010002,43.0196658,-88.7983884,667,0,0,0.2032,0.0,0.0,544.4
550551010001,43.0191364,-88.8225018,1966,0,0,0.5988,0.0,0.0,1604.7
550551009001,42.9467965,-88.6138181,1239,0,0,0.3774,0.0,0.0,1011.3
550551007002,43.045138,-88.8357967,801,0,0,0.244,0.0,0.0,653.8
550551004003,43.15135,-88.931359,1083,0,0,0.3299,0.0,0.0,884.0
550551008002,43.0727628,-88.5694486,890,0,0,0.2711,0.0,0.0,726.5
550551002001,43.1915068,-88.7199735,862,0,0,0.2626,0.0,0.0,703.6
550551005003,43.0869925,-88.9198035,773,0,0,0.2355,0.0,0.0,631.0
550551013003,42.9275876,-88.8712426,2539,0,0,0.7734,0.0,0.0,2072.5
550551015001,42.9248673,-88.8326559,761,0,0,0.2318,0.0,0.0,621.2
550551015002,42.9142004,-88.8310797,1437,0,0,0.4377,0.0,0.0,1173.0
550551016003,42.873043,-88.6195117,1346,0,0,0.41,0.0,0.0,1098.7
550551010003,43.0172706,-88.788237,1045,0,0,0.3183,0.0,0.0,853.0
550551013001,42.9572513,-88.8343323,1867,0,0,0.5687,0.0,0.0,1523.9
550551014003,42.9150019,-88.8419642,722,0,0,0.2199,0.0,0.0,589.3
550551013002,42.9433055,-88.858265,882,0,0,0.2687,0.0,0.0,719.9
550551015003,42.9557288,-88.8222274,1043,0,0,0.3177,0.0,0.0,851.3
550551006011,43.0774668,-88.9663615,1656,0,0,0.5044,0.0,0.0,1351.7
550551002002,43.189916,-88.7143467,1160,0,0,0.3533,0.0,0.0,946.8
550551002003,43.1923725,-88.7240358,698,0,0,0.2126,0.0,0.0,569.7
550551001002,43.1853846,-88.6991338,1127,0,0,0.3433,0.0,0.0,919.9
550551001003,43.1861258,-88.7109076,911,0,0,0.2775,0.0,0.0,743.6
550551001004,43.1663546,-88.6974924,820,0,0,0.2498,0.0,0.0,669.3
550551014002,42.912386,-88.8566628,1648,0,0,0.502,0.0,0.0,1345.2
550551009003,42.9537024,-88.7393755,1736,0,0,0.5288,0.0,0.0,1417.0
550551014001,42.9224312,-88.8414838,985,0,0,0.3,0.0,0.0,804.0
550551001005,43.1599405,-88.7221076,1612,0,0,0.491,0.0,0.0,1315.8
550551006023,42.9823439,-88.8859373,967,0,0,0.2945,0.0,0.0,789.3
550551017024,43.1682107,-88.5855656,1576,0,0,0.48,0.0,0.0,1286.4
550551004004,43.1484939,-88.8346988,1299,0,0,0.3957,0.0,0.0,1060.3
550551003011,43.1874541,-88.7494453,2076,0,0,0.6323,0.0,0.0,1694.5
550551003013,43.1778029,-88.7284475,908,0,0,0.2766,0.0,0.0,741.2
550551017023,43.1758005,-88.6608173,716,0,0,0.2181,0.0,0.0,584.4
550551003012,43.1704017,-88.7532045,753,0,0,0.2294,0.0,0.0,614.6
550551005004,43.06353,-88.880127,1056,0,0,0.3217,0.0,0.0,862.0
