Unit,Lat,Lon,Assigned_BGs,Served_Population,Avg_Drive_Time,Max_Drive_Time
1,42.892469584060144,-88.78169672002204,4,8134,8.2,11.3
2,42.892469584060144,-88.54169672002203,3,3561,15.2,23.7
3,42.95246958406015,-88.84169672002204,14,16832,9.0,13.9
4,42.95246958406015,-88.60169672002203,1,1239,7.4,7.4
5,43.01246958406015,-88.90169672002204,9,12004,12.0,17.0
6,43.01246958406015,-88.78169672002204,7,9800,8.9,17.3
7,43.01246958406015,-88.66169672002204,4,5379,12.1,15.3
8,43.13246958406015,-88.54169672002203,4,5519,13.5,19.7
9,43.192469584060156,-88.96169672002205,3,4622,10.1,17.6
10,43.192469584060156,-88.78169672002204,16,17810,9.4,13.4
