BG_GEOID,BG_Lat,BG_Lon,Population,Assigned_Unit,Unit_Lat,Unit_Lon,Drive_Time_Min
550551012021,42.8730114,-88.8001608,1678,1,42.892469584060144,-88.78169672002204,6.14
550551007003,43.0520378,-88.7079845,1341,7,43.01246958406015,-88.66169672002204,11.16
550551010001,43.0191364,-88.8225018,1966,6,43.01246958406015,-88.78169672002204,9.77
550551010002,43.0196658,-88.7983884,667,6,43.01246958406015,-88.78169672002204,10.39
550551010003,43.0172706,-88.788237,1045,6,43.01246958406015,-88.78169672002204,1.29
550551011001,42.9974139,-88.79208,1655,6,43.01246958406015,-88.78169672002204,5.06
550551011002,42.9992223,-88.8296666,1057,5,43.01246958406015,-88.90169672002204,8.63
550551011003,42.9845499,-88.8223877,1661,3,42.95246958406015,-88.84169672002204,8.5
550551013001,42.9572513,-88.8343323,1867,3,42.95246958406015,-88.84169672002204,7.61
550551013002,42.9433055,-88.858265,882,3,42.95246958406015,-88.84169672002204,5.13
550551013004,42.9315352,-88.8415304,729,3,42.95246958406015,-88.84169672002204,5.9
550551014003,42.9150019,-88.8419642,722,3,42.95246958406015,-88.84169672002204,10.2
550551015004,42.928901,-88.8285251,735,3,42.95246958406015,-88.84169672002204,7.51
550551015003,42.9557288,-88.8222274,1043,3,42.95246958406015,-88.84169672002204,7.68
550551016001,42.8513796,-88.7458834,3283,1,42.892469584060144,-88.78169672002204,7.35
550551017011,43.1210701,-88.7255345,1434,10,43.192469584060156,-88.78169672002204,12.41
550551016004,42.8662298,-88.557293,1133,2,42.892469584060144,-88.54169672002203,11.31
550551013003,42.9275876,-88.8712426,2539,3,42.95246958406015,-88.84169672002204,7.36
550551015002,42.9142004,-88.8310797,1437,1,42.892469584060144,-88.78169672002204,8.13
550551016003,42.873043,-88.6195117,1346,2,42.892469584060144,-88.54169672002203,10.64
550551012011,42.8841111,-88.8942999,1211,3,42.95246958406015,-88.84169672002204,13.88
550551015001,42.9248673,-88.8326559,761,3,42.95246958406015,-88.84169672002204,8.96
550551017021,43.136532,-88.5435938,1173,8,43.13246958406015,-88.54169672002203,3.16
550551008003,42.9977515,-88.5922758,1724,7,43.01246958406015,-88.66169672002204,8.64
550551005003,43.0869925,-88.9198035,773,5,43.01246958406015,-88.90169672002204,12.76
550551002001,43.1915068,-88.7199735,862,10,43.192469584060156,-88.78169672002204,8.38
550551004003,43.15135,-88.931359,1083,9,43.192469584060156,-88.96169672002205,17.65
550551008002,43.0727628,-88.5694486,890,7,43.01246958406015,-88.66169672002204,15.34
550551006022,42.9702033,-88.9723975,983,3,42.95246958406015,-88.84169672002204,12.8
550551008001,43.0610004,-88.6230231,1424,7,43.01246958406015,-88.66169672002204,13.43
550551007002,43.045138,-88.8357967,801,6,43.01246958406015,-88.78169672002204,17.33
550551009001,42.9467965,-88.6138181,1239,4,42.95246958406015,-88.60169672002203,7.39
550551001001,43.1933734,-88.6986172,926,10,43.192469584060156,-88.78169672002204,12.0
550551016002,42.8905559,-88.6722499,1082,2,42.892469584060144,-88.54169672002203,23.68
550551017022,43.1287515,-88.6208,2054,8,43.13246958406015,-88.54169672002203,19.72
550551006011,43.0774668,-88.9663615,1656,5,43.01246958406015,-88.90169672002204,14.87
550551012012,42.9115037,-88.9743684,1066,3,42.95246958406015,-88.84169672002204,11.2
550551009003,42.9537024,-88.7393755,1736,1,42.892469584060144,-88.78169672002204,11.3
550551014001,42.9224312,-88.8414838,985,3,42.95246958406015,-88.84169672002204,7.96
550551009002,43.0001653,-88.7531516,826,6,43.01246958406015,-88.78169672002204,7.87
550551014002,42.912386,-88.8566628,1648,3,42.95246958406015,-88.84169672002204,11.1
550551001004,43.1663546,-88.6974924,820,10,43.192469584060156,-88.78169672002204,12.23
550551001002,43.1853846,-88.6991338,1127,10,43.192469584060156,-88.78169672002204,11.43
550551001003,43.1861258,-88.7109076,911,10,43.192469584060156,-88.78169672002204,9.27
550551002003,43.1923725,-88.7240358,698,10,43.192469584060156,-88.78169672002204,7.84
550551002004,43.1935373,-88.7126867,866,10,43.192469584060156,-88.78169672002204,8.97
550551002002,43.189916,-88.7143467,1160,10,43.192469584060156,-88.78169672002204,8.3
550551004002,43.1755613,-88.9796136,1917,9,43.192469584060156,-88.96169672002205,6.01
550551005001,43.0892976,-88.9111153,1413,5,43.01246958406015,-88.90169672002204,12.59
550551005002,43.0808779,-88.8747049,1912,5,43.01246958406015,-88.90169672002204,16.95
550551006021,43.014263,-88.9898936,1487,5,43.01246958406015,-88.90169672002204,7.95
550551007001,43.0743749,-88.7824506,2840,6,43.01246958406015,-88.78169672002204,10.78
550551004004,43.1484939,-88.8346988,1299,10,43.192469584060156,-88.78169672002204,13.41
550551017024,43.1682107,-88.5855656,1576,8,43.13246958406015,-88.54169672002203,17.55
550551006023,42.9823439,-88.8859373,967,5,43.01246958406015,-88.90169672002204,6.53
550551001005,43.1599405,-88.7221076,1612,10,43.192469584060156,-88.78169672002204,11.47
550551003011,43.1874541,-88.7494453,2076,10,43.192469584060156,-88.78169672002204,5.74
550551003022,43.1932254,-88.7294879,1478,10,43.192469584060156,-88.78169672002204,6.67
550551005005,43.0471544,-88.9044625,1683,5,43.01246958406015,-88.90169672002204,13.96
550551003021,43.1923696,-88.7527365,880,10,43.192469584060156,-88.78169672002204,4.94
550551003013,43.1778029,-88.7284475,908,10,43.192469584060156,-88.78169672002204,9.27
550551017023,43.1758005,-88.6608173,716,8,43.13246958406015,-88.54169672002203,13.55
550551003012,43.1704017,-88.7532045,753,10,43.192469584060156,-88.78169672002204,8.57
550551004001,43.1911301,-89.0009506,1622,9,43.192469584060156,-88.96169672002205,6.72
550551005004,43.06353,-88.880127,1056,5,43.01246958406015,-88.90169672002204,13.57
