,Watertown,Fort Atkinson,Whitewater,Edgerton,Jefferson,Johnson Creek,Waterloo,Lake Mills,Ixonia,Palmyra,Cambridge,Helenville,Western Lakes
Watertown,0.0,18.68,24.43,29.11,12.93,7.92,12.38,11.77,7.47,22.48,19.2,12.05,14.17
Fort Atkinson,18.68,0.0,8.47,12.79,5.76,10.76,19.4,11.1,19.39,13.28,10.69,9.26,14.0
Whitewater,24.43,8.47,0.0,16.71,12.45,16.91,27.58,19.29,22.64,8.15,18.87,12.62,14.36
Edgerton,29.11,12.79,16.71,0.0,17.48,21.82,24.43,18.07,31.57,24.33,11.56,21.92,26.78
Jefferson,12.93,5.76,12.45,17.48,0.0,5.0,15.52,7.59,14.09,13.97,11.17,5.16,10.8
Johnson Creek,7.92,10.76,16.91,21.82,5.0,0.0,12.97,7.06,10.15,16.57,13.43,5.7,10.43
Waterloo,12.38,19.4,27.58,24.43,15.52,12.97,0.0,8.31,19.52,29.2,12.87,18.59,23.27
Lake Mills,11.77,11.1,19.29,18.07,7.59,7.06,8.31,0.0,16.66,21.56,7.44,11.72,17.14
Ixonia,7.47,19.39,22.64,31.57,14.09,10.15,19.52,16.66,0.0,18.33,23.54,10.44,9.24
Palmyra,22.48,13.28,8.15,24.33,13.97,16.57,29.2,21.56,18.33,0.0,23.74,10.92,9.09
Cambridge,19.2,10.69,18.87,11.56,11.17,13.43,12.87,7.44,23.54,23.74,0.0,16.31,21.97
Helenville,12.05,9.26,12.62,21.92,5.16,5.7,18.59,11.72,10.44,10.92,16.31,0.0,5.67
Western Lakes,14.17,14.0,14.36,26.78,10.8,10.43,23.27,17.14,9.24,9.09,21.97,5.67,0.0
