Dept,Ambulances,Calls_Per_Day,Mean_Duration_Min,Lambda_AllDay,Lambda_Peak_9_19,Mu,P_Wait_AllDay,P_Wait_Peak
Watertown,3,5.3,45.7,0.2223,0.2885,1.3117,0.0007,0.0015
Fort Atkinson,3,4.4,20.8,0.185,0.2433,2.89,0.0,0.0001
Whitewater,2,4.0,51.1,0.1653,0.2041,1.1737,0.0093,0.0139
Edgerton,2,5.6,61.4,0.2323,0.3162,0.9766,0.0253,0.0451
Jefferson,5,0.2,23.2,0.0104,0.0173,2.5865,0.0,0.0
Johnson Creek,2,1.2,59.4,0.0518,0.0677,1.0096,0.0013,0.0022
Waterloo,2,1.1,88.5,0.046,0.0674,0.6781,0.0022,0.0047
Ixonia,1,0.7,70.2,0.0297,0.0403,0.8551,0.0347,0.0471
Palmyra,1,0.1,91.8,0.0037,0.0055,0.6533,0.0056,0.0084
Cambridge,0,,,,,,,
