
Hour,Cambridge,Edgerton,Fort Atkinson,Ixonia,Jefferson,Johnson Creek,Palmyra,Waterloo,Watertown,Whitewater,Total
0,1,51,37,4,0,8,1,10,58,47,217
1,2,35,36,7,1,8,2,9,40,53,193
2,3,47,32,5,0,4,2,6,42,44,185
3,1,33,33,5,2,11,0,8,38,40,171
4,2,41,29,4,2,8,0,6,39,30,161
5,2,49,38,6,2,9,1,5,40,32,184
6,1,59,35,10,3,18,1,8,58,34,227
7,1,71,68,12,1,23,1,15,82,48,322
8,5,84,95,13,3,23,0,13,95,64,395
9,4,128,94,10,3,29,0,28,121,74,491
10,2,124,92,17,2,19,2,14,113,85,470
11,5,123,98,17,4,19,5,24,115,70,480
12,6,107,88,16,8,28,3,25,92,67,440
13,1,132,101,13,4,23,1,15,114,78,482
14,1,114,97,8,9,24,1,24,98,62,438
15,2,128,57,15,12,19,2,29,88,75,427
16,5,111,97,17,9,23,2,34,102,75,475
17,5,101,82,19,6,33,2,20,114,83,465
18,3,86,82,15,6,30,2,33,96,76,429
19,4,117,86,10,3,30,3,15,115,69,452
20,4,78,77,11,5,21,0,18,110,74,398
21,1,89,74,10,1,15,0,13,71,61,335
22,3,57,54,8,3,21,0,14,59,56,275
23,0,70,39,8,2,8,1,17,47,51,243
