K,T,avg_rt,max_rt,pop_total,pct_covered,pop_covered,stations,cov_8min,cov_10min,cov_14min
7,8,10.34,30.8,84900,53.8,45662.0,"(42.8925,-88.7817) | (42.9525,-88.8417) | (43.0125,-88.9017) | (43.0125,-88.7817) | (43.0725,-88.8417) | (43.1925,-88.9617) | (43.1925,-88.7217)",,,
7,10,10.2,30.8,84900,65.6,55713.0,"(42.8925,-88.7817) | (42.9525,-88.8417) | (43.0125,-88.9617) | (43.0125,-88.7817) | (43.0725,-88.8417) | (43.1925,-88.9617) | (43.1925,-88.7217)",,,
7,14,11.53,30.8,84900,81.8,69459.0,"(42.8925,-88.7817) | (42.9525,-88.8417) | (43.0125,-88.9017) | (43.0125,-88.6617) | (43.0725,-88.7817) | (43.1925,-88.9617) | (43.1925,-88.7817)",,,
8,8,9.52,30.8,84900,56.5,47976.0,"(42.8925,-88.7817) | (42.9525,-88.8417) | (43.0125,-88.9017) | (43.0125,-88.7817) | (43.0725,-88.8417) | (43.0725,-88.6017) | (43.1925,-88.9617) | (43.1925,-88.7217)",,,
8,10,10.11,30.8,84900,68.4,58083.0,"(42.8925,-88.8417) | (42.8925,-88.7817) | (42.9525,-88.8417) | (43.0125,-88.9617) | (43.0125,-88.7817) | (43.0725,-88.8417) | (43.1925,-88.9617) | (43.1925,-88.7217)",,,
8,14,11.1,29.39,84900,84.7,71938.0,"(42.8925,-88.7817) | (42.8925,-88.5417) | (42.9525,-88.8417) | (43.0125,-88.9017) | (43.0125,-88.6617) | (43.0725,-88.7817) | (43.1925,-88.9617) | (43.1925,-88.7817)",,,
9,8,9.42,30.8,84900,59.1,50174.0,"(42.8925,-88.8417) | (42.8925,-88.7817) | (42.9525,-88.8417) | (43.0125,-88.9017) | (43.0125,-88.7817) | (43.0725,-88.8417) | (43.0725,-88.6017) | (43.1925,-88.9617) | (43.1925,-88.7217)",,,
9,10,9.59,30.8,84900,71.1,60397.0,"(42.8925,-88.8417) | (42.8925,-88.7817) | (42.9525,-88.8417) | (43.0125,-88.9617) | (43.0125,-88.7817) | (43.0725,-88.8417) | (43.0725,-88.6617) | (43.1925,-88.9617) | (43.1925,-88.7217)",,,
9,14,11.13,29.39,84900,87.5,74286.0,"(42.8925,-88.7817) | (42.8925,-88.5417) | (42.9525,-88.8417) | (43.0125,-88.9017) | (43.0125,-88.7817) | (43.0125,-88.6617) | (43.1325,-88.9017) | (43.1925,-88.9017) | (43.1925,-88.7817)",,,
10,8,9.31,30.8,84900,61.7,52360.0,"(42.8925,-88.8417) | (42.8925,-88.7817) | (42.9525,-88.8417) | (43.0125,-88.9017) | (43.0125,-88.7817) | (43.0725,-88.9017) | (43.0725,-88.8417) | (43.0725,-88.6017) | (43.1925,-88.9617) | (43.1925,-88.7217)",,,
