BG_Lat,BG_Lon,BG_Pop,Secondary_Demand,Nearest_Primary,Assigned_Secondary,Secondary_RT_Min
43.0744,-88.7825,2840,919.4,Johnson Creek,SEC-3 (North),11.8
43.1211,-88.7255,1434,464.2,Johnson Creek,SEC-3 (North),13.6
43.0191,-88.8225,1966,367.2,Jefferson,SEC-2 (Central),8.0
42.9845,-88.8224,1661,310.3,Jefferson,SEC-2 (Central),8.2
42.9974,-88.7921,1655,309.1,Jefferson,SEC-2 (Central),10.9
42.9276,-88.8712,2539,251.7,Fort Atkinson,SEC-1 (South),7.4
43.1756,-88.9796,1917,225.8,Waterloo,SEC-3 (North),29.2
42.9992,-88.8297,1057,197.4,Jefferson,SEC-2 (Central),6.0
43.0173,-88.7882,1045,195.2,Jefferson,SEC-2 (Central),12.5
43.1911,-89.001,1622,191.0,Waterloo,SEC-3 (North),29.2
42.9573,-88.8343,1867,185.1,Fort Atkinson,SEC-1 (South),7.6
43.1875,-88.7494,2076,181.6,Watertown,SEC-3 (North),10.1
43.0143,-88.9899,1487,177.5,Cambridge,SEC-2 (Central),13.0
42.873,-88.8002,1678,166.4,Fort Atkinson,SEC-1 (South),16.0
42.9124,-88.8567,1648,163.4,Fort Atkinson,SEC-1 (South),11.1
43.0002,-88.7532,826,154.3,Jefferson,SEC-2 (Central),17.0
42.9978,-88.5923,1724,152.5,Western Lakes,SEC-2 (Central),28.9
43.0451,-88.8358,801,149.6,Jefferson,SEC-2 (Central),16.9
42.9142,-88.8311,1437,142.5,Fort Atkinson,SEC-1 (South),10.4
43.1599,-88.7221,1612,141.0,Watertown,SEC-3 (North),12.1
43.1288,-88.6208,2054,136.7,Ixonia,SEC-3 (North),31.6
43.1932,-88.7295,1478,129.3,Watertown,SEC-3 (North),8.6
43.1514,-88.9314,1083,127.6,Waterloo,SEC-3 (North),33.0
43.061,-88.623,1424,125.9,Western Lakes,SEC-2 (Central),26.7
43.0197,-88.7984,667,124.6,Jefferson,SEC-2 (Central),13.9
42.8841,-88.8943,1211,120.1,Fort Atkinson,SEC-1 (South),13.9
42.9702,-88.9724,983,117.4,Cambridge,SEC-1 (South),12.8
43.0809,-88.8747,1912,113.8,Lake Mills,SEC-3 (North),13.9
43.1485,-88.8347,1299,113.6,Watertown,SEC-3 (North),11.3
42.9468,-88.6138,1239,109.6,Western Lakes,SEC-1 (South),34.4
43.1682,-88.5856,1576,104.9,Ixonia,SEC-3 (North),28.8
42.9557,-88.8222,1043,103.4,Fort Atkinson,SEC-1 (South),7.7
43.1899,-88.7143,1160,101.5,Watertown,SEC-3 (North),10.5
43.0472,-88.9045,1683,100.2,Lake Mills,SEC-2 (Central),17.8
43.1854,-88.6991,1127,98.6,Watertown,SEC-3 (North),13.7
43.0775,-88.9664,1656,98.6,Lake Mills,SEC-3 (North),19.0
42.9224,-88.8415,985,97.7,Fort Atkinson,SEC-1 (South),8.0
42.9823,-88.8859,967,95.9,Fort Atkinson,SEC-1 (South),8.0
42.9433,-88.8583,882,87.4,Fort Atkinson,SEC-1 (South),5.1
43.0893,-88.9111,1413,84.1,Lake Mills,SEC-3 (North),12.4
42.9115,-88.9744,1066,81.9,Edgerton,SEC-1 (South),11.2
43.1934,-88.6986,926,81.0,Watertown,SEC-3 (North),14.2
43.1861,-88.7109,911,79.7,Watertown,SEC-3 (North),11.3
43.1778,-88.7284,908,79.4,Watertown,SEC-3 (North),10.5
43.0728,-88.5694,890,78.7,Western Lakes,SEC-2 (Central),24.1
43.1365,-88.5436,1173,78.1,Ixonia,SEC-3 (North),27.2
43.1924,-88.7527,880,77.0,Watertown,SEC-3 (North),9.5
43.1935,-88.7127,866,75.8,Watertown,SEC-3 (North),11.2
42.9249,-88.8327,761,75.4,Fort Atkinson,SEC-1 (South),9.0
43.1915,-88.72,862,75.4,Watertown,SEC-3 (North),10.6
42.9289,-88.8285,735,72.9,Fort Atkinson,SEC-1 (South),7.5
42.9315,-88.8415,729,72.3,Fort Atkinson,SEC-1 (South),5.9
43.1664,-88.6975,820,71.7,Watertown,SEC-3 (North),14.5
42.915,-88.842,722,71.6,Fort Atkinson,SEC-1 (South),10.2
43.1704,-88.7532,753,65.9,Watertown,SEC-3 (North),6.7
43.0635,-88.8801,1056,62.9,Lake Mills,SEC-2 (Central),13.6
43.1758,-88.6608,716,62.6,Watertown,SEC-3 (North),16.3
43.1924,-88.724,698,61.1,Watertown,SEC-3 (North),10.1
42.8514,-88.7459,3283,48.9,Whitewater,SEC-1 (South),22.1
43.087,-88.9198,773,46.0,Lake Mills,SEC-3 (North),14.1
42.873,-88.6195,1346,12.9,Palmyra,SEC-1 (South),32.5
42.8662,-88.5573,1133,10.9,Palmyra,SEC-1 (South),43.0
42.8906,-88.6722,1082,10.4,Palmyra,SEC-1 (South),41.5
