K,Objective,T,Avg_RT,Max_RT,Demand_Pct_Covered,Demand_Covered,Stations
2,MCLP,10,11.65,33.06,57.0,831.3,"(42.8925,-88.7817) | (43.1925,-88.7217)"
2,MCLP,14,12.81,32.43,66.8,974.0,"(42.8925,-88.7817) | (43.1925,-88.7817)"
2,PMed,PMed,11.65,33.06,65.6,,"(42.8925,-88.7817) | (43.1925,-88.7217)"
3,MCLP,10,9.32,30.8,72.1,1051.2,"(42.8925,-88.7817) | (42.9525,-88.9617) | (43.1925,-88.7217)"
3,MCLP,14,10.64,30.8,86.1,1255.7,"(42.8925,-88.7817) | (42.9525,-88.8417) | (43.1925,-88.7817)"
3,PMed,PMed,9.32,30.8,81.8,,"(42.8925,-88.7817) | (42.9525,-88.9617) | (43.1925,-88.7217)"
4,MCLP,10,8.68,30.8,80.0,1167.2,"(42.8925,-88.7817) | (42.9525,-88.9617) | (42.9525,-88.8417) | (43.1925,-88.7217)"
4,MCLP,14,9.7,30.8,91.2,1330.2,"(42.8925,-88.7817) | (42.9525,-88.8417) | (43.1925,-88.9617) | (43.1925,-88.7817)"
4,PMed,PMed,8.13,30.8,86.9,,"(42.8925,-88.7817) | (42.9525,-88.9617) | (43.1925,-88.9617) | (43.1925,-88.7217)"
5,MCLP,10,7.49,30.8,85.1,1241.8,"(42.8925,-88.7817) | (42.9525,-88.9617) | (42.9525,-88.8417) | (43.1925,-88.9617) | (43.1925,-88.7217)"
5,MCLP,14,7.93,30.8,96.0,1400.4,"(42.8925,-88.7817) | (42.9525,-88.8417) | (43.1325,-88.7817) | (43.1925,-88.9617) | (43.1925,-88.7217)"
5,PMed,PMed,7.49,30.8,90.3,,"(42.8925,-88.7817) | (42.9525,-88.9617) | (42.9525,-88.8417) | (43.1925,-88.9617) | (43.1925,-88.7217)"
