K,Objective,T,Avg_RT,Max_RT,Demand_Pct_Covered,Demand_Covered,Stations
2,MCLP,10,12.7,42.96,47.4,262.5,"(42.9525,-88.8417) | (43.1925,-88.7217)"
2,MCLP,14,14.63,42.96,70.9,392.7,"(42.9525,-88.8417) | (43.1325,-88.7817)"
2,PMed,PMed,12.7,42.96,63.7,,"(42.9525,-88.8417) | (43.1925,-88.7217)"
3,MCLP,10,9.62,42.96,60.5,335.5,"(42.9525,-88.8417) | (43.1925,-88.9617) | (43.1925,-88.7217)"
3,MCLP,14,11.01,42.96,84.0,465.6,"(42.9525,-88.8417) | (43.1325,-88.7817) | (43.1925,-88.9617)"
3,PMed,PMed,9.62,42.96,76.8,,"(42.9525,-88.8417) | (43.1925,-88.9617) | (43.1925,-88.7217)"
4,MCLP,10,9.03,38.42,72.8,403.1,"(42.8925,-88.8417) | (42.9525,-88.8417) | (43.1925,-88.9617) | (43.1925,-88.7217)"
4,MCLP,14,10.42,38.42,87.8,486.3,"(42.8925,-88.8417) | (42.9525,-88.8417) | (43.1325,-88.7817) | (43.1925,-88.9617)"
4,PMed,PMed,8.25,42.96,85.9,,"(42.9525,-88.8417) | (43.0725,-88.7817) | (43.1925,-88.9617) | (43.1925,-88.7217)"
5,MCLP,10,8.05,38.42,81.8,453.1,"(42.8925,-88.8417) | (42.9525,-88.8417) | (43.0725,-88.8417) | (43.1925,-88.9617) | (43.1925,-88.7217)"
5,MCLP,14,8.61,30.8,91.5,507.0,"(42.8925,-88.7817) | (42.9525,-88.8417) | (43.1325,-88.7817) | (43.1925,-88.9617) | (43.1925,-88.7217)"
5,PMed,PMed,7.66,38.42,89.6,,"(42.8925,-88.8417) | (42.9525,-88.8417) | (43.0725,-88.7817) | (43.1925,-88.9617) | (43.1925,-88.7217)"
