K,Objective,T,Avg_RT,Max_RT,Demand_Pct_Covered,Demand_Covered,Stations
2,MCLP,10,16.59,53.06,31.7,2757.4,"(43.0725,-88.8417) | (43.1925,-88.7217)"
2,MCLP,14,15.13,42.96,63.7,5537.7,"(42.9525,-88.8417) | (43.1325,-88.7817)"
2,PMed,PMed,14.01,46.36,60.1,,"(43.0125,-88.8417) | (43.1925,-88.7217)"
3,MCLP,10,12.34,42.96,47.3,4109.5,"(42.9525,-88.8417) | (43.0725,-88.8417) | (43.1925,-88.7217)"
3,MCLP,14,14.22,42.96,73.0,6344.2,"(42.9525,-88.8417) | (43.0125,-88.8417) | (43.1325,-88.7817)"
3,PMed,PMed,12.01,42.96,67.9,,"(42.9525,-88.8417) | (43.0725,-88.7817) | (43.1925,-88.7217)"
4,MCLP,10,10.92,42.96,61.4,5332.8,"(42.9525,-88.8417) | (43.0125,-88.7817) | (43.0725,-88.8417) | (43.1925,-88.7217)"
4,MCLP,14,13.28,42.96,77.8,6761.0,"(42.9525,-88.8417) | (43.0125,-88.8417) | (43.1325,-88.7817) | (43.1925,-88.9017)"
4,PMed,PMed,10.78,42.96,74.7,,"(42.9525,-88.8417) | (43.0125,-88.7817) | (43.0725,-88.7817) | (43.1925,-88.7217)"
5,MCLP,10,10.56,38.42,67.6,5876.6,"(42.8925,-88.8417) | (42.9525,-88.8417) | (43.0125,-88.7817) | (43.0725,-88.8417) | (43.1925,-88.7217)"
5,MCLP,14,11.59,40.46,81.9,7118.1,"(42.9525,-88.8417) | (43.0125,-88.8417) | (43.0725,-88.6017) | (43.1325,-88.7817) | (43.1925,-88.9617)"
5,PMed,PMed,9.66,42.96,79.5,,"(42.9525,-88.8417) | (43.0125,-88.7817) | (43.0725,-88.7817) | (43.1925,-88.9617) | (43.1925,-88.7217)"
6,MCLP,10,10.26,38.42,73.0,6340.8,"(42.8925,-88.8417) | (42.9525,-88.8417) | (43.0125,-88.7817) | (43.0725,-88.8417) | (43.1325,-88.7217) | (43.1925,-88.7217)"
6,MCLP,14,10.79,33.61,85.9,7466.5,"(42.9525,-88.8417) | (43.0125,-88.8417) | (43.0125,-88.6017) | (43.0725,-88.8417) | (43.1925,-88.9017) | (43.1925,-88.7817)"
6,PMed,PMed,9.06,40.46,0.0,,"(42.9525,-88.8417) | (43.0125,-88.7817) | (43.0725,-88.7817) | (43.0725,-88.6017) | (43.1925,-88.9617) | (43.1925,-88.7217)"
