K,Unit,lat,lon
2,1,42.95246958406015,-88.84169672002204
2,2,43.13246958406015,-88.54169672002203
3,1,42.95246958406015,-88.84169672002204
3,2,43.13246958406015,-88.54169672002203
3,3,43.192469584060156,-88.72169672002204
4,1,42.95246958406015,-88.84169672002204
4,2,43.01246958406015,-88.60169672002203
4,3,43.13246958406015,-88.54169672002203
4,4,43.192469584060156,-88.72169672002204
5,1,42.892469584060144,-88.78169672002204
5,2,42.95246958406015,-88.84169672002204
5,3,43.01246958406015,-88.60169672002203
5,4,43.13246958406015,-88.54169672002203
5,5,43.192469584060156,-88.72169672002204
6,1,42.892469584060144,-88.78169672002204
6,2,42.95246958406015,-88.84169672002204
6,3,43.01246958406015,-88.60169672002203
6,4,43.13246958406015,-88.54169672002203
6,5,43.192469584060156,-88.72169672002204
6,6,43.192469584060156,-88.60169672002203
8,1,42.892469584060144,-88.78169672002204
8,2,42.95246958406015,-88.96169672002205
8,3,42.95246958406015,-88.84169672002204
8,4,43.01246958406015,-88.60169672002203
8,5,43.13246958406015,-88.54169672002203
8,6,43.192469584060156,-88.96169672002205
8,7,43.192469584060156,-88.72169672002204
8,8,43.192469584060156,-88.60169672002203
