K,Unit,lat,lon
2,1,42.92746958406015,-88.8441967200222
2,2,43.137469584060156,-88.54419672002247
3,1,42.92746958406015,-88.8441967200222
3,2,43.137469584060156,-88.54419672002247
3,3,43.18996958406016,-88.7316967200223
4,1,42.92746958406015,-88.8441967200222
4,2,43.00246958406015,-88.59669672002242
4,3,43.137469584060156,-88.54419672002247
4,4,43.18996958406016,-88.7316967200223
5,1,42.859969584060146,-88.76169672002227
5,2,42.92746958406015,-88.94169672002211
5,3,43.00246958406015,-88.59669672002242
5,4,43.137469584060156,-88.54419672002247
5,5,43.18996958406016,-88.7316967200223
6,1,42.859969584060146,-88.76169672002227
6,2,42.92746958406015,-88.94169672002211
6,3,43.00246958406015,-88.59669672002242
6,4,43.137469584060156,-88.54419672002247
6,5,43.16746958406016,-88.58169672002244
6,6,43.18996958406016,-88.7316967200223
8,1,42.859969584060146,-88.76169672002227
8,2,42.91996958406015,-88.9566967200221
8,3,42.92746958406015,-88.8441967200222
8,4,43.00246958406015,-88.79169672002224
8,5,43.00246958406015,-88.59669672002242
8,6,43.137469584060156,-88.54419672002247
8,7,43.16746958406016,-88.58169672002244
8,8,43.18996958406016,-88.7316967200223
