K,Secondary_Calls,Median_Secondary_RT,P90_Secondary_RT,Mean_Secondary_RT,Pct_Within_10min,Pct_Within_14min,Queue_Events,System_Utilization_Pct,Max_Unit_Utilization_Pct,Total_Ambulances,config
2,3088,18.31,45.59,21.64,37.7,42.6,288,9.21,17.74,14,coarse_legacy
3,3088,12.7,29.1,14.9,47.9,52.9,47,8.59,14.68,15,coarse_legacy
4,3088,6.34,23.62,12.01,56.4,62.0,7,8.06,13.1,16,coarse_legacy
5,3088,6.34,19.93,10.6,62.8,68.9,0,7.58,13.06,17,coarse_legacy
6,3088,6.34,19.5,9.51,68.6,74.7,0,7.16,11.81,18,coarse_legacy
8,3088,6.34,19.5,8.8,75.6,76.9,0,6.45,11.81,20,coarse_legacy
2,3088,18.59,50.5,22.7,35.6,39.9,288,9.21,16.82,14,fine_realistic
3,3088,14.07,34.34,16.06,45.1,49.9,47,8.59,13.62,15,fine_realistic
4,3088,8.54,28.14,13.01,51.9,57.4,7,8.06,13.02,16,fine_realistic
5,3088,6.24,27.03,11.71,59.5,64.3,0,7.58,12.97,17,fine_realistic
6,3088,5.6,24.18,10.04,63.6,70.0,0,7.16,11.88,18,fine_realistic
8,3088,5.04,22.69,9.04,69.3,73.3,0,6.45,11.88,20,fine_realistic
2,3088,17.8,47.85,21.51,38.6,43.6,288,9.21,16.82,14,fine_controlled
3,3088,13.78,29.91,14.74,49.1,54.0,47,8.59,13.62,15,fine_controlled
4,3088,3.83,24.3,11.74,56.5,61.4,7,8.06,13.02,16,fine_controlled
5,3088,3.83,24.3,10.48,65.0,68.0,0,7.58,12.97,17,fine_controlled
6,3088,3.48,20.66,8.73,70.7,73.8,0,7.16,11.88,18,fine_controlled
8,3088,3.48,20.66,7.7,76.2,76.6,0,6.45,11.88,20,fine_controlled
