Dept,Hour,Freq_Score,Conc_Score,RT_Score,ALS_Score,Composite,Flag,Is_Night,FT_Staff,Has_24_7
Watertown,0,12.0,25.0,7.0,25.0,68.9,High Need,True,31,True
Watertown,1,8.3,25.0,7.9,25.0,66.2,High Need,True,31,True
Watertown,2,8.7,25.0,14.8,25.0,73.5,High Need,True,31,True
Watertown,3,7.9,25.0,15.3,23.0,71.2,High Need,True,31,True
Watertown,4,8.1,21.4,25.0,20.8,75.3,High Need,True,31,True
Watertown,5,8.3,16.7,10.2,25.0,60.1,High Need,True,31,True
Watertown,6,12.0,25.0,7.0,25.0,68.9,High Need,False,31,True
Watertown,7,16.9,25.0,2.6,25.0,69.6,High Need,False,31,True
Watertown,8,19.6,25.0,1.0,25.0,70.7,High Need,False,31,True
Watertown,9,25.0,25.0,5.0,25.0,80.0,High Need,False,31,True
Watertown,10,23.3,25.0,5.0,25.0,78.3,High Need,False,31,True
Watertown,11,23.8,25.0,5.0,25.0,78.8,High Need,False,31,True
Watertown,12,19.0,25.0,0.0,25.0,69.1,High Need,False,31,True
Watertown,13,23.6,25.0,2.0,25.0,75.5,High Need,False,31,True
Watertown,14,20.2,25.0,1.2,25.0,71.5,High Need,False,31,True
Watertown,15,18.2,25.0,1.6,25.0,69.8,High Need,False,31,True
Watertown,16,21.1,25.0,1.9,25.0,73.0,High Need,False,31,True
Watertown,17,23.6,25.0,3.6,25.0,77.2,High Need,False,31,True
Watertown,18,19.8,25.0,1.1,25.0,70.9,High Need,False,31,True
Watertown,19,23.8,25.0,10.7,25.0,84.5,High Need,False,31,True
Watertown,20,22.7,25.0,3.0,25.0,75.7,High Need,False,31,True
Watertown,21,14.7,25.0,1.9,25.0,66.6,High Need,False,31,True
Watertown,22,12.2,25.0,5.0,25.0,67.2,High Need,True,31,True
Watertown,23,9.7,25.0,4.8,25.0,64.5,High Need,True,31,True
Fort Atkinson,0,9.2,9.0,7.8,25.0,50.9,High Need,True,16,True
Fort Atkinson,1,8.9,25.0,12.2,25.0,71.1,High Need,True,16,True
Fort Atkinson,2,7.9,0.0,12.9,25.0,45.8,Adequate,True,16,True
Fort Atkinson,3,8.2,10.1,1.1,22.7,42.1,Adequate,True,16,True
Fort Atkinson,4,7.2,5.7,11.8,25.0,49.7,Adequate,True,16,True
Fort Atkinson,5,9.4,21.9,11.9,25.0,68.2,High Need,True,16,True
Fort Atkinson,6,8.7,9.5,9.0,25.0,52.2,High Need,False,16,True
Fort Atkinson,7,16.8,25.0,1.0,25.0,67.8,High Need,False,16,True
Fort Atkinson,8,23.5,15.8,5.0,25.0,69.3,High Need,False,16,True
Fort Atkinson,9,23.3,25.0,2.2,25.0,75.5,High Need,False,16,True
Fort Atkinson,10,22.8,23.6,5.0,25.0,76.3,High Need,False,16,True
Fort Atkinson,11,24.3,20.4,0.1,25.0,69.8,High Need,False,16,True
Fort Atkinson,12,21.8,15.2,1.6,25.0,63.6,High Need,False,16,True
Fort Atkinson,13,25.0,23.1,3.1,25.0,76.2,High Need,False,16,True
Fort Atkinson,14,24.0,18.9,5.0,25.0,72.9,High Need,False,16,True
Fort Atkinson,15,14.1,20.5,5.0,25.0,64.6,High Need,False,16,True
Fort Atkinson,16,24.0,22.3,5.0,25.0,76.3,High Need,False,16,True
Fort Atkinson,17,20.3,25.0,1.7,25.0,72.0,High Need,False,16,True
Fort Atkinson,18,20.3,25.0,0.2,25.0,70.5,High Need,False,16,True
Fort Atkinson,19,21.3,25.0,0.2,24.7,71.2,High Need,False,16,True
Fort Atkinson,20,19.1,10.8,5.2,25.0,60.1,High Need,False,16,True
Fort Atkinson,21,18.3,25.0,5.4,25.0,73.7,High Need,False,16,True
Fort Atkinson,22,13.4,12.3,9.3,25.0,60.0,High Need,True,16,True
Fort Atkinson,23,9.7,8.5,4.9,24.0,47.2,Adequate,True,16,True
Whitewater,0,13.8,25.0,13.1,18.6,70.5,High Need,True,15,True
Whitewater,1,15.6,25.0,8.9,25.0,74.5,High Need,True,15,True
Whitewater,2,12.9,22.7,14.3,19.9,69.9,High Need,True,15,True
Whitewater,3,11.8,25.0,15.3,9.4,61.5,High Need,True,15,True
Whitewater,4,8.8,25.0,15.8,18.7,68.4,High Need,True,15,True
Whitewater,5,9.4,25.0,20.9,19.5,74.9,High Need,True,15,True
Whitewater,6,10.0,25.0,14.4,25.0,74.4,High Need,False,15,True
Whitewater,7,14.1,25.0,3.8,22.1,65.0,High Need,False,15,True
Whitewater,8,18.8,25.0,3.1,25.0,71.9,High Need,False,15,True
Whitewater,9,21.8,25.0,1.6,24.5,72.9,High Need,False,15,True
Whitewater,10,25.0,25.0,5.0,22.8,77.8,High Need,False,15,True
Whitewater,11,20.6,25.0,5.0,25.0,75.6,High Need,False,15,True
Whitewater,12,19.7,25.0,5.0,19.6,69.3,High Need,False,15,True
Whitewater,13,22.9,25.0,6.0,23.2,77.2,High Need,False,15,True
Whitewater,14,18.2,25.0,5.0,23.2,71.4,High Need,False,15,True
Whitewater,15,22.1,25.0,5.0,19.2,71.2,High Need,False,15,True
Whitewater,16,22.1,25.0,5.0,22.5,74.6,High Need,False,15,True
Whitewater,17,24.4,25.0,2.4,17.3,69.2,High Need,False,15,True
Whitewater,18,22.4,25.0,1.0,20.6,68.9,High Need,False,15,True
Whitewater,19,20.3,25.0,2.1,20.8,68.3,High Need,False,15,True
Whitewater,20,21.8,25.0,5.0,18.6,70.3,High Need,False,15,True
Whitewater,21,17.9,25.0,0.6,16.4,60.0,High Need,False,15,True
Whitewater,22,16.5,25.0,1.4,25.0,67.9,High Need,True,15,True
Whitewater,23,15.0,25.0,8.5,9.8,58.3,High Need,True,15,True
Edgerton,0,9.7,25.0,24.1,25.0,83.7,High Need,True,24,True
Edgerton,1,6.6,25.0,20.6,25.0,77.2,High Need,True,24,True
